phonemes,ground_truth,prediction
diː ʃtyɾmə tɾɛfən zɪç baɪ ʃiːkɑːɡoː voː ziː tsʊm ʃt??m fɔn eːnɔɾmɜ kɾaft vɛɾdən,"Die Stürme treffen sich bei Chicago, wo sie zum Sturm von enormer Kraft werden.","Die Stücke treffen sich bei Chicago, wo sie zum Turm von enormer Kraft werden."
fyːɾ baŋladɛʃ hatən diː batɜ tsuːnɛçst ʃviːrɪçkaɪtən zɪç tsuː haltən,Für Bangladesch hatten die Batter zunächst Schwierigkeiten sich zu halten.,Für Bankladsch hatten die Bater zunächst Schwinderungen sich zu halten.
ɪn maltɑː ɡiːpt ɛs kaɪnə fɛɾɡəvaltɪɡʊŋ tsvɪʃən mɛnɜn,In Malta gibt es keine Vergewaltigung zwischen Männern.,In Malta gibt es keine Verwaltung zwischen Männern.
dɛɾ tsvaɪtə diːzɜ ʃtaɾts vɑːɾ ɛɾfɔlɡɾaɪç,Der zweite dieser Starts war erfolgreich.,Der zweite dieser Starts war erfolgreich.
aɪn man ɪn ʃvɪmhoːzə balansiːɾt aʊf aɪnəm hoːxzaɪl,Ein Mann in Schwimmhose balanciert auf einem Hochseil.,Ein Mann in Schwimmhose balansiert auf einem Hochseil.
hɛɾtsʃtyk ɪst aɪn boːtɑnɪʃɜ ɡaɾtən dɛɾ tɛːklɪç aʊsɜ an vaɪhnaxtən ʊnt nɔøjɑːɾ ɡəœfnət ɪst,"Herzstück ist ein Botanischer Garten, der täglich, außer an Weihnachten und Neujahr, geöffnet ist.","Herzstück ist ein botanischer Garten, der täglich außer an Weihnachtsen und Neuhaar geöffnet ist."
ɑdamkʊs vɑːɾ mɪtɡliːt dɛɾ reːpuːbliːkɑnɪʃən paɾtaɪ,Adamkus war Mitglied der Republikanischen Partei.,Adamkus war Mitglied der Republikanischen Partei.
diː tɔxtɜ aɪnəs ʃɪfbaʊɜs ʊnt aɪnɜ haʊsfraʊ vʊxs ɪn aɪnəm pɾoːleːtɑrɪʃən miːliːuː aʊf,Die Tochter eines Schiffbauers und einer Hausfrau wuchs in einem proletarischen Milieu auf.,Die Tochter eines Schiffbauers und einer Hausfrau wuchs in einem parlamentarischen Miliu auf.
mɪt dɛɾ reːfɔɾm dɛɾ ɪnstiːtuːtsjoːnən vɪɾt dɛɾ veːɡ fyːɾ diː ɛɾvaɪtərʊŋ dɛɾ uːnjoːn ɡəɛbnət,Mit der Reform der Institutionen wird der Weg für die Erweiterung der Union geebnet.,Mit der Reform der Institutionen wird der Weg für die Erhöhung der Union geebnet.
iːrə ɛntʃaɪdʊŋən v??dən an diː reːɡɪoːnɑːlpaɾlamɛntə vaɪtɜɡəlaɪtət,Ihre Entscheidungen wurden an die Regionalparlamente weitergeleitet.,Ihre Entscheidungen wurden an die Regionalpartei weitergeleitet.
psalms fɔn ɡeːɔɾk friːdɾɪç hɛndəl ɪn dɛɾ ʊlmɜ dɾaɪfaltɪçkaɪtskɪɾçə,Psalms von Georg Friedrich Händel in der Ulmer Dreifaltigkeitskirche.,Psalms von Georg Friedrich Händel in der Ulmer Dreifaltigkeitskirche.
ɪn deːn baɪdən ɡiːbəln bɾaxtə ɛɾ tsvaɪ fiːɡuːrɛnraɪçə diː zeːmaxt amstɜdɑːms fɛɾhɛɾlɪçəndə ɡɾʊpən an,"In den beiden Giebeln brachte er zwei figurenreiche, die Seemacht Amsterdams verherrlichende Gruppen an.","In den beiden Giebeln brachte er zwei Figurenreiche, die Sicht amsterdach verherrliche Gruppen an."
ɛɾ vɑːɾ mɪtɡliːt dɛs bʊndəs dɛɾ fraɪmaʊrɜ,Er war Mitglied des Bundes der Freimaurer.,Er war Mitglied des Bundes der Freimaurer.
ɪn dɛɾ tsoːloːɡiː ʊnt huːmanbɪoːloːɡiː fɪndən hɔøtə diː bəɡɾɪfə ɡəneːtɪʃə vɑriːatsjoːn ʊnt moːdiːfiːkatsjoːn fɛɾvɛndʊŋ,In der Zoologie und Humanbiologie finden heute die Begriffe genetische Variation und Modifikation Verwendung.,In der Zoologie und Humanbiologie finden heute die Begriffe genaue Variation und Motivation verwendung.
ʃtaliːn tsiːtiːɾtə bɾɪŋɔlf dɑːraʊfhɪn nɑːx mɔskaʊ voː ɛɾ taɪlvaɪzə naxɡɑːp,"Stalin zitierte Bringolf daraufhin nach Moskau, wo er teilweise nachgab.","Stanley zielte Brian daraufhin nach Moskau, wo er teilweise nach gab."
kan diː kɔmɪsɑrɪn fraʊ bjɛreːɡɑːɾt das aʊx ɛkspliːtsɪt bəʃtɛːtɪɡən,"Kann die Kommissarin, Frau Bjerregaard, das auch explizit bestätigen?",Kann die Kommissarin Frau Bernhard das auch Explicit bestätigen?
tsuː bəɡɪn ɑːs ɛɾ aɪnɪɡə zalɑːtə ʊnt frantsøːzɪʃə boːnən ʊnt dan ɑːs ɛɾ aɪnɪɡə rɛtɪçə,"Zu Beginn aß er einige Salate und französische Bohnen, und dann aß er einige Rettiche.","Zu beginn, as er einige Saale und französische Boden und dann aus er einige Richtunge."
aʊsɜhalp dɛɾ ɔɾtsʃaft bəfɪndət zɪç aɪn ɡəvɛɾbeːɡeːbiːt,Außerhalb der Ortschaft befindet sich ein Gewerbegebiet.,Außerdem der Ortsschaft befindet sich ein Gewerbegebiet.
als aʊtoːɾ vɪɾd ɛɾ dɛɾ zɛksɪʃən dɪçtɜʃuːlə tsuːɡeːɔɾdnət,Als Autor wird er der Sächsischen Dichterschule zugeordnet.,Als Autor wird er der sechsischen Dichtungsschule zugeordnet.
diː akuːmuːlatoːrən vɛɾdən mɪt yːbɜʃysɪɡəm ʃtɾoːm aʊs deːm bətɾiːp dɛɾ ɡɛneːratoːrən ɡəlɑːdən,Die Akkumulatoren werden mit überschüssigem Strom aus dem Betrieb der Generatoren geladen.,Die Akutomatoren werden mit überschußlichem Strom aus dem Betrieb der Generalen geladen.
vaŋənhaɪm kɔmpoːniːɾtə zɪnfoːnɪən kamɜmuːziːk kɪɾçənmuːziːk ʊnt fɔlksliːtmoːtɛtən,"Wangenheim komponierte Sinfonien, Kammermusik, Kirchenmusik und Volkslied-Motetten.","Wangenheim komponierte Simbonien, Kammermusik, Kirchenmusik und Volkslieden."
hiːɾ ɡɪlt rɛçts fɔɾ lɪŋks,Hier gilt rechts vor links.,Hier gilt Rechts vor links.
pɾaɪs dɛs ɔøroːpɛːɪʃən juːɡəntheːɑːtɜfɛstiːvɑːls ʊnt v??də tsʊm çeːvaliːɾ dɛs ɑːɾts eːt lɛtɾəs ɛɾnant,Preis des Europäischen Jugendtheater-Festivals und wurde zum Chevalier des Arts et Lettres ernannt.,Preis des Europäischen Jugendtheaters und wurde zum Cappellar des Arts Ed Letertes ernannt.
eːbɜhaɾt bəʃtɛlt nɔx aɪn piːls,Eberhard bestellt noch ein Pils.,Eberhard bestellt noch ein Pilz.
danax v??də diː fɛstʊŋ aɪn ɡəfɛŋnɪs,Danach wurde die Festung ein Gefängnis.,Danach wurde die Festung ein Gefängnis.
ɛs ɡiːpt veːnɪɡə hoːtəls jeːdɔx aɪnɪɡə rɛstoːrɑ̃s,"Es gibt wenige Hotels, jedoch einige Restaurants.",Es gibt wenige Hitels jedoch einige Retrorats.
nɑːx dɛɾ (en)ʃəʊ(de) fʊŋɡiːɾtə kɑmeːroːn aʊx als kalɜ,Nach der Show fungierte Cameron auch als Caller.,Nach der Scheu fungierte Cameron auch als Keller.
baɪərɪʃən lanttɑːk ɡəvɛːlt,Bayerischen Landtag gewählt.,Beierischen Landtag gewählt.
viːɾ bəɡlykvynʃən ziː,Wir beglückwünschen Sie.,Wir begrüßen Sie.
diː palɑː ɡəhœɾt tsuː deːn paramɛntən,Die Palla gehört zu den Paramenten.,Die Palra gehört zu den Paranten.
dɛɾ riːziːkən bɪn ɪç miːɾ bəvʊst,Der Risiken bin ich mir bewusst.,Der Risiken bin ich mir bewundert.
ɪm fiːnɑːlən høːeːpʊŋkt dɛɾ ʃiːseːraɪ zɛtst fɔɾt alɜdɪŋs kaɪnə muːziːk aɪn,Im finalen Höhepunkt der Schießerei setzt Ford allerdings keine Musik ein.,Im Finale Höhepunkt der Schieseerei setzt fort allerdings keine Musik ein.
ʃoːn laŋə vɪɾt diː p??puːɾmaɡnoːliː als tsiːɾɡəhœlts ɪn ɔstaziːən ɡəpflantst,Schon lange wird die Purpur-Magnolie als Ziergehölz in Ostasien gepflanzt.,Schon lange wird die Purpura-Madeleine als Zürgehölz in Ostostasien gepflanzt.
jeːdəs bandmɪtɡliːt zaŋ ɪn aɪnɜ andərən ʃpɾɑːxə,Jedes Bandmitglied sang in einer anderen Sprache.,Jedes Bandmitglied sang in einer anderen Sprache.
zaɪnə ɛltɜn vɑːrən joːhan vɪlhɛlm deː kaɾmɜ ʊnt dɛsən eːɛfraʊ iːdɑː mariːɑː rɑdeːmaxɜ,"Seine Eltern waren ""Johann Wilhelm de Carmer"" und dessen Ehefrau ""Ida Maria Rademacher"".",Seine Eltern waren Johann Wilhelm de Karmer und dessen Ehefrau Ida Maria Rademacher.
ɪç hɔfə dɛɾ kɔmɪsɑːɾ vɪɾt zɪç diːzən foːɾʃlɑːk aʊfmɛɾkzɑːm anhøːrən,"Ich hoffe, der Kommissar wird sich diesen Vorschlag aufmerksam anhören.","Ich hoffe, der Kommissarir wird sich diesen Vorschlag aufmerksam anhüren."
dɛɾ ɔɾt hat zɪç tsuː aɪnəm dɛɾ raɪkstən dœɾfɜ dɛɾ ɪnzəl ɛntvɪkəlt,Der Ort hat sich zu einem der reichsten Dörfer der Insel entwickelt.,Der Ort hat sich zu einem der reichsten Dorfer der Insel entwickelt.
diːzə masnɑːmə vɑːɾ noːtvɛndɪç vaɪl ɪn deːn fɛɾtaɪdɪɡʊŋspoːliːtɪʃən rɪçtliːnɪən nɔø ɡəvɪçtət v??də,"Diese Maßnahme war notwendig, weil in den Verteidigungspolitischen Richtlinien neu gewichtet wurde.","Diese Maßnahme war notwendig, weil in den Verteidigungspolitischen Richtlinien neu geprüft wurde."
aʊx ɪn diːzəm fal v??dən ʃpɛːtərə aʊflɑːɡən fɔn kɑrʊs yːbɜzɛtst,Auch in diesem Fall wurden spätere Auflagen von Carus übersetzt.,Auch in diesem Fall wurden spätere Auflagen von Kasus übersetzt.
viːɾ mysən das rɪçtɪɡə ɡlaɪçɡeːvɪçt tsvɪʃən naxhaltɪçkaɪt ʊnt aɪnɜ ɛɾfɔlɡɾaɪçən bɾançə fɪndən,Wir müssen das richtige Gleichgewicht zwischen Nachhaltigkeit und einer erfolgreichen Branche finden.,Wir müssen das richtige Gleichgewicht zwischen Nachhilfe und einer erfolgreichen Bahnche finden.
diː niːdɾɪɡərə tɛmpeːratuːɾ reːzʊltiːɾt ɪn aɪnəm bɛsərən yːbɜɡaŋ tsʊm kaltən vɛɾkstɔf,Die niedrigere Temperatur resultiert in einem besseren Übergang zum kalten Werkstoff.,Die niedrigere Temperatur realisiert in einem besseren Übergang zum kalten Werkstoff.
alɜdɪŋs ɛɾklɛɾtə ɛɾ mɪt bədɔøtʊŋsfɔlɜ miːnə,"Allerdings"", erklärte er mit bedeutungsvoller Miene.",Allerdings erklärte er mit Bedeutungsvoller Miele.
ɪn baɪdən vɛtbeːvɜbən ʃaɪtɜtə ziː bəraɪts ɪn dɛɾ eːɾstən rʊndə,In beiden Wettbewerben scheiterte sie bereits in der ersten Runde.,In beiden Wettbewerben scheiterte sie bereits in der ersten Runde.
diː aʊsfyːrʊŋən ɪm altən dɪzaɪn v??dən ʊntɜ deːm nɑːmən lɪoːns miːdiː fɛɾmaɾktət,"Die Ausführungen im alten Design wurden unter dem Namen ""Lion’s Midi"" vermarktet.","Die Ausführungen im Alten Dsein wurden unter dem Namen ""Lithium Mineral"" vermarktet."
zaɪnə aʊsbɪldʊŋ tsʊm hɑːlsnɑːzənoːrənaɾtst ɛɾhiːlt ɛɾ an dɛɾ uːniːvɛɾziːtɛːt maɾb??k,Seine Ausbildung zum Hals-Nasen-Ohrenarzt erhielt er an der Universität Marburg.,Seine Ausbildung zum Harvard-School-President erhielt er an der Universität Marburg.
apʃliːsənt fɛɾloːrən ziː aʊx das ʃpiːl ʊm diː bɾɔntseːmeːdaɪlə ɡeːɡən pɑkɪstɑːn,Abschließend verloren sie auch das Spiel um die Bronzemedaille gegen Pakistan.,Abschließend verloren sie auch das Spiel um die Bronzemedaille gegen Kapitan.
diː tɛls vɑːrən zeːɾ ʊnɡlaɪçmɛːsɪç fɛɾtaɪlt,Die Tells waren sehr ungleichmäßig verteilt.,Die Zells waren sehr ungleichmäßig verteilt.
aɪnə yːbɜzɛtsʊŋ dɛs buːxəs ɪn dɔøtʃɜ ʃpɾɑːxə ɛɾʃiːn bɪslaŋ nɪçt,Eine Übersetzung des Buches in deutscher Sprache erschien bislang nicht.,Eine Übersetzung des Buches in deutscher Sprache erschien bislang nicht.
poːziːtsjoːn fɔn deːn bʊfɑːloː zabɾəs aʊsɡəvɛːlt,Position von den Buffalo Sabres ausgewählt.,Position von den Bufflo Serras ausgewählt.
aɪn tyɾkə bətɾaŋk zɪç zoː das ɛɾ ɪm kɛlɜ liːɡən bliːp,"Ein Türke betrank sich so, dass er im Keller liegen blieb.","Ein Türke begann sich so, dass er im Keller liegen blieb."
diː kɑmeːrɑː bəzɪtst aɪn ɡəvɪndə tsʊm anʃlʊs an aɪn ʃtatiːf,Die Kamera besitzt ein Gewinde zum Anschluss an ein Stativ.,Die Kamera besitzt ein Gewisse zum Anschluss an ein Status.
diː famiːlɪə vɔlkənʃtaɪn ɪst aɪnə zaɪtənliːnɪə dɛɾ hɛrən fɔn vɪlandɜs,Die Familie Wolkenstein ist eine Seitenlinie der Herren von Villanders.,Die Familie Wolkenstein ist eine Seitenlinie der Herren von Wilders.
ɪm ɡlaɪçən jɑːɾ v??də ɛɾ dan ɪn talɪn juːnɪoːrənɔøroːpamaɪstɜ ɪm fliːɡənɡeːvɪçt,Im gleichen Jahr wurde er dann in Tallinn Junioren-Europameister im Fliegengewicht.,"Im gleichen Jahr wurde er dann in Tallinn, Junioren-Europameister im Fliegengebiet."
ap diːzəm tsaɪtpʊŋkt bəɡɪnt diː liːnɪə dɛɾ bɪʃøːfə,Ab diesem Zeitpunkt beginnt die Linie der Bischöfe.,Ab diesem Zeitpunkt beginnt die Linie der Bischöfe.
zaɪnə karɪeːrə bəɡan ɛɾ als tɛnɪspiːlɜ,Seine Karriere begann er als Tennisspieler.,Seine Karriere begann er als Trainer.
aɪn ɡəmɪʃtəs rɑdɪkstsɑːlənzysteːm kan ɔft fɔn aɪnɜ tɑbəlɑrɪʃən tsuːzamənfasʊŋ ɡəbɾaʊx maxən,Ein gemischtes Radix-Zahlensystem kann oft von einer tabellarischen Zusammenfassung Gebrauch machen.,Ein gemeintes Radiosatellitensystem kann oft von einer tabaliarischen Zusammenfassung gebraucht machen.
aʊf iːn ɡeːt diː plɑnʊŋ dɛɾ fɛɾklaɪdʊŋ dɛɾ pyːloːnə mɪt ɡɾɑnɪtplatən tsuːryk,Auf ihn geht die Planung der Verkleidung der Pylone mit Granitplatten zurück.,Auf ihn geht die Planung der Verkleinung der Pläne mit Granitplatten zurück.
aʊs tsvaɪ ɡəʃiːdənən eːən ɡɪŋən tsvaɪ kɪndɜ hɛɾfoːɾ,Aus zwei geschiedenen Ehen gingen zwei Kinder hervor.,Aus zwei geschiedenen Ehen gingen zwei Kinder hervor.
ziː ɡiːpt diː tsaɪtʃrɪft psyːçoːloːɡiː ɪn ɛɾtsiːʊŋ ʊnt ʊntɜrɪçt ɛɾnst raɪnhaɾt fɛɾlɑːk mɪt hɛraʊs,Sie gibt die Zeitschrift Psychologie in Erziehung und Unterricht (Ernst Reinhardt Verlag) mit heraus.,Sie gibt die Zeitschrift Psychologie in Erziehung und Unterricht Ernst Rheinhart verlag mit Haaraus.
diː yːbɾɪɡən aspɛktə dɛɾ zoːtsiːalpoːliːtiːk zɔltən aʊf natsjoːnɑːlɜ oːdɜ loːkɑːlɜ eːbənə ɡəreːɡəlt vɛɾdən,Die übrigen Aspekte der Sozialpolitik sollten auf nationaler oder lokaler Ebene geregelt werden.,Die übrigen Aspekte der Sozialpolitik sollten auf nationaler oder lokaler Ebene gelagert werden.
nɪçt alə aʊfɡəfyːɾtən pʊŋktə mysən dɑːhɛɾ bədɔøtzɑːm zaɪn,Nicht alle aufgeführten Punkte müssen daher bedeutsam sein.,Nicht alle aufgeführten Punkte müssen daher bedeutend sein.
ɛɾnst leːviː hat zɪç mɪt fiːlən aspɛktən dɛs røːmɪʃən rɛçts bəfast,Ernst Levy hat sich mit vielen Aspekten des römischen Rechts befasst.,Ernst Levi hat sich mit vielen Aspekten des römischen Rechts befasst.
maɾtɪn lʊtɜs bʊxtiːtəl pɾeːdɪɡɜ zaloːmoː ʃliːst zɪç an diːzə tɾɑdiːtsjoːn an,Martin Luthers Buchtitel „Prediger Salomo“ schließt sich an diese Tradition an.,Martin Ludwigs Buchtitel „Prediger Solmo“ schließt sich an diese Tradition an.
danax ɡɪŋ frants dɔplɜ viːdɜ mɪt zaɪnəm bɾuːdɜ aʊf kɔntsɛɾtɾaɪzən,Danach ging Franz Doppler wieder mit seinem Bruder auf Konzertreisen.,Danach ging Franz Dopper wieder mit seinem Bruder auf Konzertreisen.
aɪnə diːrɛktə annɛːərʊŋ dɛɾ meːɾvɜtstɔøɜzɛtsə ɪst daɡeːɡən nɪçt ɛɾfɔɾdɜlɪç,Eine direkte Annäherung der Mehrwertsteuersätze ist dagegen nicht erforderlich.,Eine direkte Annäherung der Mehrwertsteuersätze ist dagegen nicht erforderlich.
tsuːvandərɜ oːnə papiːrə,Zuwanderer ohne Papiere?,Zuwanderer ohne Papiere.
vɑːlpeːrɪoːdə dɛs lanttɑːɡs fɔn bɑːdənvyɾtəmbɛɾɡ als altɜʃpɾɛːziːdɛnt,Wahlperiode des Landtags von Baden-Württemberg als Alterspräsident.,Wahlperiode des Landtags von Baden-Württemberg als Alterspräsident.
vɛntsəl zɔltə das ʃtamlant lʊksɛmb??k ʊnt diː frantsøːzɪʃən leːən ɛɾhaltən,Wenzel sollte das Stammland Luxemburg und die französischen Lehen erhalten.,Wenzel sollte das Stammland Luxemburg und die französischen Leben erhalten.
ɛɾ zuːxt zɑrɑː aʊf ʊnt vɪl ziː tøːtən,Er sucht Sarah auf und will sie töten.,Er sucht Sara auf und will sie töten.
baɪ pʊŋktɡlaɪçhaɪt ɡiːpt ɛs aɪn ɛntʃaɪdʊŋspiːl,Bei Punktgleichheit gibt es ein Entscheidungsspiel.,Bei Punktgleichheit gibt es ein Entscheidungsspiel.
aɪntsɛlnə byːçɜ zɪnt aʊx ɪm aʊslant ɛɾhaltən,Einzelne Bücher sind auch im Ausland erhalten.,Einzelne Bücher sind auch im Ausland erhalten.
das zɔl maɪst lʊstɪç oːdɜ zaɾkastɪʃ zaɪn,Das soll meist lustig oder sarkastisch sein.,Das soll meist lustig oder spanisch sein.
nɑːx deːm ɛndə zaɪnɜ tɛːtɪçkaɪt ɪm œfəntlɪçən diːnst aɾbaɪtətə ɛɾ als rɛçtzanvalt,Nach dem Ende seiner Tätigkeit im öffentlichen Dienst arbeitete er als Rechtsanwalt.,Nach dem Ende seiner Tätigkeit im öffentlichen Dienst arbeitete er als Rechtsanwalt.
ɪm ɡlaɪçən jɑːɾ v??də ɛɾ ɪn deːn foːɾʃtant dɛs kynstlɜbʊndəs bɑːdənvyɾtəmbɛɾk ɡəvɛːlt,"Im gleichen Jahr wurde er in den Vorstand des ""Künstlerbundes Baden-Württemberg"" gewählt.",Im gleichen Jahr wurde er in den Vorstand des Künstlerbundes Baden-Württemberg gewählt.
als juːɡəntlɪçɜ bɾaxtə zɪç kat das ɡiːtarɛʃpiːlən zɛlpst baɪ,Als Jugendlicher brachte sich Kath das Gitarrespielen selbst bei.,Als Jugendlicher brachte sich Kat das Gitarrspielen selbst bei.
kʊnɪŋhɑːm ɪst tsʊm tsvaɪtən mɑːl fɛɾhaɪrɑːtət ʊnt hat tsvaɪ kɪndɜ aʊs eːɾstɜ eːə,Cunningham ist zum zweiten Mal verheiratet und hat zwei Kinder aus erster Ehe.,Kinguinham ist zum zweiten Mal verheiratet und hat zwei Kinder aus erster Ehe.
baɾbarɑː bɾyk vɑːɾ diː tɔxtɜ dɛs kɾɪstiːɑːn bɾyk,Barbara Brück war die Tochter des Christian Brück.,Barbera Brüg war die Tochter des Christian Brüg.
iːɾ ɡəhœɾtə aʊx ɡeːɔɾɡəs biːdaʊlt an,Ihr gehörte auch Georges Bidault an.,Ihr gehörte auch Georges Bierboot an.
vɛːrə jɑː aʊx tsuː ʃøːn ɡəveːzən,Wäre ja auch zu schön gewesen.,Wäre ja auch zu schön gewesen.
dɛɾ talɛntiːɾtə ɛmɛɾ,Der talentierte Mr.,Der Talentierte er.
tsuːɾ plaɪlɪst hɪntsuːfyːɡən,Zur Playlist hinzufügen.,Zur Plailist hinzufügen.
dɛɾ fɛɾtɾɑːk mʊs nɔø ɛɾʃtɛlt vɛɾdən,Der Vertrag muss neu erstellt werden.,Der Vertrag muss neu erstellt werden.
veːɡən aɪnɪɡɜ ʊnfɛlə v??də diː bɾykə aɪnən tɑːk ʃpɛːtɜ ɛɾnɔøt ɡəʃpɛɾt,Wegen einiger Unfälle wurde die Brücke einen Tag später erneut gesperrt.,Wegen einiger Unfälle wurde die Brüke einen Tag später erneut gesperrt.
ziː vɔlən das ɔøroːpɑː ɪn ɡɾoːsən tsuːzamənhɛŋən dɛŋkt,"Sie wollen, dass Europa in großen Zusammenhängen denkt.",Sie wollen das Europa in großen Zusammenhängen denken.
ziː ʊnt kɔnrɑːt fɔn dɛɾ maɾk vɑːrən ɪn dɛɾ klɔstɜkɪɾçə aʊx bəʃtatət,Sie und Konrad von der Mark waren in der Klosterkirche auch bestattet.,Sie und Konstantin von der Mark waren in der Klosterkirche auch stattet.
rʊndə ɛɾviːs zɪç alɜdɪŋs dɛɾ ɡɾashɔpɜ kluːp tsyːrɪç als tsuː ʃtaɾk fyːɾ tseːnɪt,Runde erwies sich allerdings der Grasshopper Club Zürich als zu stark für Zenit.,Runde erwies sich allerdings der Grabhopper Club züglich als zu stark für Zeit.
diː ʃtɾɑːsə ɪst nuːɾ veːnɪɡə kiːloːmeːtɜ fɔm tiːananmənplats ɛntfɛɾnt,Die Straße ist nur wenige Kilometer vom Tian’anmen-Platz entfernt.,Die Straße ist nur wenige Kilometer vom Titanenplatz entfernt.
diː muːziːk fyːɾ deːn fɪlm ʃtɔøɜtə deːɑːt peːɔplə baɪ,Die Musik für den Film steuerte Dead People bei.,Die Musik für den Film steuerte daat Peppone bei.
an diːzɜ ʃtɛlə ɪst nɔxmɑːls k??ts aʊf diː bətsaɪçnʊŋən ʊkɜsriːt bətsiːʊŋsvaɪzə oːkɜsrɔøt aɪntsuːɡeːən,"An dieser Stelle ist nochmals kurz auf die Bezeichnungen ""Uckersriet"" beziehungsweise ""Okersreuth"" einzugehen.",An dieser Stelle ist nochmals kurz auf die Bezeichnungen Unternehmer beziehungsweise Obersrot einzugehen.
aʊfɡɾʊnt dɛɾ ɡəʃlɔsənən fɔɾm kan diː ʃyɾtsə diː ɛːroːdyːnamɪk aɪnəs fɑːɾtsɔøks fɛɾbɛsɜn,Aufgrund der geschlossenen Form kann die Schürze die Aerodynamik eines Fahrzeugs verbessern.,Aufgrund der geschlossenen Form kann die Schließe die Errodummung eines Fahrzeugs verbessern.
aɪntsɪɡə neːɡatiːvə neːbənvɪɾkʊŋ dɛs foːɾtɛks vɪɾd ɛɾ ɡənʊtst zoː bədɔøtət diːs deːn vɛltʊntɜɡaŋ,"Einzige negative Nebenwirkung des Vortex: Wird er genutzt, so bedeutet dies den Weltuntergang.","Einzige negative Nebenwirkung des Vorteils wird er genutzt, so bedeutet dies den Weltuntergang."
das frɛnç lɪk reːsɔɾt kaziːnoː vɑːɾ dɛɾ haʊptɔɾt dɛɾ ʊntɜhaltʊŋ ɪn dɛɾ ʃtat,Das French Lick Resort Casino war der Hauptort der Unterhaltung in der Stadt.,Das Fritz Liek Redondo war der Hauptort der Unterhaltung in der Stadt.
dɑːryːbɜ hɪnaʊs zɪnt ɛs maɪstəns mɛnɜ diː ɪn dɛɾ ʃpɔɾtlɪçən vɛlt das zɑːɡən hɑːbən,"Darüber hinaus sind es meistens Männer, die in der sportlichen Welt das Sagen haben.","Darüber hinaus sind es meistens Männer, die in der sportlichen Welt das sagen haben."
bɪs dɑːhɪn v??də ziː fɔn jʊstɪn ʃastaɪn aʊf aɪɡənə kɔstən vaɪtɜ bətɾiːbən,Bis dahin wurde sie von Justin Chastain auf eigene Kosten weiter betrieben.,Bis dahin wurde sie von Juntin Schottin auf eigene Kosten weiter betrieben.
das ɪst aɪnə ʃviːrɪɡə (en)baləns(de),Das ist eine schwierige Balance.,Das ist eine schwierige Balance.
ziː ɪntərɛsiːɾtə zɪç fyːɾ tantsən,Sie interessierte sich für Tanzen.,Sie interessierte sich für Tanten.
klasə ʊnt nɑːm an dɛɾ ʃlaxt baɪ vɑtɜluː taɪl,Klasse und nahm an der Schlacht bei Waterloo teil.,Klasse und nahm an der Schlacht bei Walterloo teil.
ɛɾ ɛɾlaŋtə aʊf dɛɾ ɑkadeːmiː deːn raŋ aɪnəs ɡeːnərɑːls,Er erlangte auf der Akademie den Rang eines Generals.,Er erlangte auf der Akademie den Rang eines Generals.
